entrance,exit,time_of_day,vehicle_class,toll_type,toll_rate,,time_of_day,,,,This sheet
QEW,Dundas Street,Weekday 6am - 7am,Light Vehicle,With a Transponder - Total,3.65,,,,,,Weekday 7pm - 6am
QEW,Dundas Street,Weekday 6am - 7am,Light Vehicle,Without - Total,7.85,,,,,,
QEW,Dundas Street,Weekday 6am - 7am,Heavy Single,With a Transponder - Total,7.31,,,,,,
QEW,Dundas Street,Weekday 6am - 7am,Heavy Single,Without - Total,57.31,,,,,,
QEW,Dundas Street,Weekday 6am - 7am,Heavy Multi,With a Transponder - Total,10.96,,Light Vehicle,,,,
QEW,Dundas Street,Weekday 6am - 7am,Heavy Multi,Without - Total,60.96,,Heavy Single,,,,
QEW,Dundas Street,Weekday 7am - 9:30am,Light Vehicle,With a Transponder - Total,4.34,,Heavy Multi,,,,
QEW,Dundas Street,Weekday 7am - 9:30am,Light Vehicle,Without - Total,8.54,,,,,,
QEW,Dundas Street,Weekday 7am - 9:30am,Heavy Single,With a Transponder - Total,8.68,,Weekday 6am - 7am,,,,
QEW,Dundas Street,Weekday 7am - 9:30am,Heavy Single,Without - Total,58.68,,Weekday 7am - 9:30am,,,,
QEW,Dundas Street,Weekday 7am - 9:30am,Heavy Multi,With a Transponder - Total,13.03,,Weekday 9:30am - 10am,,,,
QEW,Dundas Street,Weekday 7am - 9:30am,Heavy Multi,Without - Total,63.03,,Weekday 10am - 10:30am,,,,
QEW,Dundas Street,Weekday 9:30am - 10am,Light Vehicle,With a Transponder - Total,3.76,,Weekday 10:30am - 2:30pm,,,,
QEW,Dundas Street,Weekday 9:30am - 10am,Light Vehicle,Without - Total,7.96,,Weekday 2:30pm - 3:00pm,,,,
QEW,Dundas Street,Weekday 9:30am - 10am,Heavy Single,With a Transponder - Total,7.51,,Weekday 3:00pm - 3:30pm,,,,
QEW,Dundas Street,Weekday 9:30am - 10am,Heavy Single,Without - Total,57.51,,Weekday 3:30pm - 6pm,,,,
QEW,Dundas Street,Weekday 9:30am - 10am,Heavy Multi,With a Transponder - Total,11.27,,Weekday 6pm - 7pm,,,,
QEW,Dundas Street,Weekday 9:30am - 10am,Heavy Multi,Without - Total,61.27,,Weekday 7pm - 6am,,,,
QEW,Dundas Street,Weekday 10am - 10:30am,Light Vehicle,With a Transponder - Total,3.76,,Wknds/Holiday 11am - 7pm,,,,
QEW,Dundas Street,Weekday 10am - 10:30am,Light Vehicle,Without - Total,7.96,,Wknds/Holiday 7pm - 11am,,,,
QEW,Dundas Street,Weekday 10am - 10:30am,Heavy Single,With a Transponder - Total,7.51,,,,,,
QEW,Dundas Street,Weekday 10am - 10:30am,Heavy Single,Without - Total,57.51,,,,,,
QEW,Dundas Street,Weekday 10am - 10:30am,Heavy Multi,With a Transponder - Total,11.27,,,,,,
QEW,Dundas Street,Weekday 10am - 10:30am,Heavy Multi,Without - Total,61.27,,,,,,
QEW,Dundas Street,Weekday 10:30am - 2:30pm,Light Vehicle,With a Transponder - Total,3.37,,,,,,
QEW,Dundas Street,1030054,Light Vehicle,Without - Total,7.57,,,,,,
QEW,Dundas Street,Weekday 10:30am - 2:30pm,Heavy Single,With a Transponder - Total,6.74,,,,,,
QEW,Dundas Street,Weekday 10:30am - 2:30pm,Heavy Single,Without - Total,56.74,,,,,,
QEW,Dundas Street,Weekday 10:30am - 2:30pm,Heavy Multi,With a Transponder - Total,10.11,,,,,,
QEW,Dundas Street,Weekday 10:30am - 2:30pm,Heavy Multi,Without - Total,60.11,,,,,,
QEW,Dundas Street,Weekday 2:30pm - 3:00pm,Light Vehicle,With a Transponder - Total,3.67,,,,,,
QEW,Dundas Street,Weekday 2:30pm - 3:00pm,Light Vehicle,Without - Total,7.87,,,,,,
QEW,Dundas Street,Weekday 2:30pm - 3:00pm,Heavy Single,With a Transponder - Total,7.34,,,,,,
QEW,Dundas Street,Weekday 2:30pm - 3:00pm,Heavy Single,Without - Total,57.34,,,,,,
QEW,Dundas Street,Weekday 2:30pm - 3:00pm,Heavy Multi,With a Transponder - Total,11.01,,,,,,
QEW,Dundas Street,Weekday 2:30pm - 3:00pm,Heavy Multi,Without - Total,61.01,,,,,,
QEW,Dundas Street,Weekday 3:00pm - 3:30pm,Light Vehicle,With a Transponder - Total,3.67,,,,,,
QEW,Dundas Street,Weekday 3:00pm - 3:30pm,Light Vehicle,Without - Total,7.87,,,,,,
QEW,Dundas Street,Weekday 3:00pm - 3:30pm,Heavy Single,With a Transponder - Total,7.34,,,,,,
QEW,Dundas Street,Weekday 3:00pm - 3:30pm,Heavy Single,Without - Total,57.34,,,,,,
QEW,Dundas Street,Weekday 3:00pm - 3:30pm,Heavy Multi,With a Transponder - Total,11.01,,,,,,
QEW,Dundas Street,Weekday 3:00pm - 3:30pm,Heavy Multi,Without - Total,61.01,,,,,,
QEW,Dundas Street,Weekday 3:30pm - 6pm,Light Vehicle,With a Transponder - Total,4.04,,,,,,
QEW,Dundas Street,Weekday 3:30pm - 6pm,Light Vehicle,Without - Total,8.24,,,,,,
QEW,Dundas Street,Weekday 3:30pm - 6pm,Heavy Single,With a Transponder - Total,8.07,,,,,,
QEW,Dundas Street,Weekday 3:30pm - 6pm,Heavy Single,Without - Total,58.07,,,,,,
QEW,Dundas Street,Weekday 3:30pm - 6pm,Heavy Multi,With a Transponder - Total,12.11,,,,,,
QEW,Dundas Street,Weekday 3:30pm - 6pm,Heavy Multi,Without - Total,62.11,,,,,,
QEW,Dundas Street,Weekday 6pm - 7pm,Light Vehicle,With a Transponder - Total,3.67,,,,,,
QEW,Dundas Street,Weekday 6pm - 7pm,Light Vehicle,Without - Total,7.87,,,,,,
QEW,Dundas Street,Weekday 6pm - 7pm,Heavy Single,With a Transponder - Total,7.34,,,,,,
QEW,Dundas Street,Weekday 6pm - 7pm,Heavy Single,Without - Total,57.34,,,,,,
QEW,Dundas Street,Weekday 6pm - 7pm,Heavy Multi,With a Transponder - Total,11.01,,,,,,
QEW,Dundas Street,Weekday 6pm - 7pm,Heavy Multi,Without - Total,61.01,,,,,,
QEW,Dundas Street,Weekday 7pm - 6am,Light Vehicle,With a Transponder - Total,2.53,,,,,,
QEW,Dundas Street,Weekday 7pm - 6am,Light Vehicle,Without - Total,6.73,,,,,,
QEW,Dundas Street,Weekday 7pm - 6am,Heavy Single,With a Transponder - Total,5.07,,,,,,
QEW,Dundas Street,Weekday 7pm - 6am,Heavy Single,Without - Total,55.07,,,,,,
QEW,Dundas Street,Weekday 7pm - 6am,Heavy Multi,With a Transponder - Total,7.6,,,,,,
QEW,Dundas Street,Weekday 7pm - 6am,Heavy Multi,Without - Total,57.6,,,,,,
